time [BJD],flux,flux_err
2459775.242331339,-0.000954628,0.0019973624
2459775.249275893,0.0020991564,0.0019973624
2459775.256220447,0.00012552738,0.0019973624
2459775.263165001,-0.002409637,0.0019973624
2459775.2701095548,-0.0016483665,0.0019973624
2459775.277054108,-0.0065309405,0.0019973624
2459775.283998662,-0.0022175312,0.0019973624
2459775.290943216,-0.0018449426,0.0019973624
2459775.29788777,-0.0020011663,0.0019973624
2459775.3048323235,-0.0042442083,0.0019973624
2459775.3117768774,-0.0039829016,0.0019973624
2459775.3187214313,0.0022888184,0.0019973624
2459775.3256659852,-0.000772655,0.0019973624
2459775.3326105387,-0.0050050616,0.0019973624
2459775.3395550926,-0.005043149,0.0019973624
2459775.346499646,-0.004627526,0.0019973624
2459775.3534442,-0.00068962574,0.0019973624
2459775.3603887535,-0.00065767765,0.0019973624
2459775.3673333074,-0.007259786,0.0019973624
2459775.374277861,-0.0052276254,0.0019973624
2459775.381222415,-0.00049066544,0.0019973624
2459775.3881669682,-0.00068229437,0.0019973624
2459775.395111522,-0.0009816885,0.0019973624
2459775.4020560756,-0.0031899214,0.0019973624
2459775.409000629,-0.000551641,0.0019973624
2459775.415945183,-0.00251925,0.0019973624
2459775.4228897365,-0.0018119812,0.0019973624
2459775.42983429,-0.0053415895,0.0019973624
