#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2460097.754147	0.993398	0.006149	1.038187
2460097.754683	0.993866	0.006126	1.037470
2460097.755215	0.982991	0.006075	1.036767
2460097.755736	1.003978	0.006097	1.036084
2460097.756258	0.992412	0.006184	1.035408
2460097.756787	0.994854	0.006490	1.034730
2460097.757321	0.986573	0.006407	1.034053
2460097.757854	0.988020	0.006157	1.033383
2460097.758393	1.003211	0.006316	1.032715
2460097.758922	0.989294	0.006073	1.032067
2460097.759451	0.994960	0.006075	1.031426
2460097.759952	0.990926	0.006080	1.030825
2460097.760483	0.995404	0.006096	1.030194
2460097.761026	0.996698	0.006100	1.029557
2460097.761555	0.998858	0.006068	1.028944
2460097.762090	0.988443	0.005977	1.028330
2460097.762565	0.987642	0.005977	1.027792
2460097.763092	0.989232	0.005954	1.027201
2460097.763629	0.998864	0.005988	1.026608
2460097.764105	0.991184	0.005939	1.026087
2460097.764580	0.989891	0.005986	1.025574
2460097.765119	0.999702	0.005943	1.024996
2460097.765658	0.995916	0.005922	1.024428
2460097.766194	0.998030	0.005932	1.023869
2460097.766732	0.984844	0.005910	1.023314
2460097.767261	0.993627	0.005897	1.022788
2460097.767787	0.990989	0.005820	1.022249
2460097.768328	0.983752	0.005833	1.021715
2460097.768860	0.988879	0.005834	1.021196
2460097.769335	0.991959	0.005803	1.020749
2460097.769865	0.993405	0.005840	1.020245
2460097.770401	0.992784	0.005908	1.019741
2460097.770935	0.976438	0.005830	1.019247
2460097.771471	0.994545	0.005830	1.018758
2460097.772000	0.990241	0.005835	1.018282
2460097.772528	0.991797	0.005870	1.017815
2460097.773061	0.987002	0.005802	1.017349
2460097.773590	1.002096	0.005815	1.016894
2460097.774064	0.992277	0.005803	1.016491
2460097.774538	0.999099	0.005753	1.016093
2460097.775059	0.997908	0.005775	1.015664
2460097.775560	0.997538	0.005759	1.015257
2460097.776106	0.993716	0.005795	1.014821
2460097.776642	0.989559	0.005782	1.014399
2460097.777185	0.986897	0.005772	1.013978
2460097.777661	0.989481	0.005785	1.013615
2460097.778136	0.995881	0.005788	1.013259
2460097.778669	0.993162	0.005779	1.012866
2460097.779205	0.997762	0.005741	1.012476
2460097.779680	0.993187	0.005762	1.012136
2460097.780222	0.987517	0.005739	1.011756
2460097.780805	0.992441	0.005824	1.011354
2460097.781351	0.991768	0.005696	1.010985
2460097.781896	0.995651	0.005729	1.010623
2460097.782372	0.983367	0.005707	1.010313
2460097.782919	0.982313	0.005670	1.009964
2460097.783393	0.992790	0.005734	1.009667
2460097.783868	0.987541	0.005697	1.009376
2460097.784343	0.982606	0.005674	1.009089
2460097.784863	0.994328	0.005687	1.008781
2460097.785395	0.988906	0.005674	1.008472
2460097.785916	0.987464	0.005696	1.008176
2460097.786459	0.992052	0.005692	1.007874
2460097.787118	0.991042	0.005686	1.007518
2460097.787592	0.991514	0.005655	1.007269
2460097.788129	0.998292	0.005652	1.006991
2460097.788667	0.992201	0.005656	1.006720
2460097.789198	0.990060	0.005672	1.006459
2460097.789739	0.988202	0.005655	1.006199
2460097.790265	1.005383	0.005671	1.005954
2460097.790740	0.999026	0.005650	1.005739
2460097.791275	0.998811	0.005642	1.005502
2460097.791803	0.989009	0.005600	1.005274
2460097.792306	0.976990	0.005568	1.005063
2460097.792781	0.984487	0.005597	1.004869
2460097.793327	0.995357	0.005647	1.004652
2460097.793879	0.985176	0.005692	1.004440
2460097.794432	0.988263	0.005640	1.004236
2460097.794963	0.986283	0.005652	1.004046
2460097.795501	0.990231	0.005655	1.003859
2460097.796050	0.990762	0.005646	1.003677
2460097.796600	0.992761	0.005662	1.003500
2460097.797147	0.998038	0.005673	1.003330
2460097.797690	0.986516	0.005604	1.003169
2460097.798229	0.988800	0.005561	1.003016
2460097.798770	0.991842	0.005597	1.002870
2460097.799313	0.987495	0.005577	1.002729
2460097.799863	0.994103	0.005589	1.002593
2460097.800392	0.997179	0.005778	1.002469
2460097.800942	0.993008	0.005563	1.002346
2460097.801495	1.000487	0.005677	1.002231
2460097.802047	0.985997	0.005580	1.002125
2460097.802576	0.991629	0.005581	1.002027
2460097.803112	0.984618	0.005567	1.001935
2460097.803650	0.985087	0.006329	1.001848
2460097.804207	0.986890	0.005620	1.001765
2460097.804765	0.997073	0.005522	1.001688
2460097.805315	0.989078	0.005538	1.001622
2460097.805862	0.993676	0.005511	1.001561
2460097.806336	0.976007	0.005466	1.001514
2460097.806871	0.985635	0.005510	1.001467
2460097.807426	1.004094	0.005521	1.001426
2460097.807974	0.984403	0.005612	1.001393
2460097.808522	0.997611	0.005671	1.001366
2460097.808995	0.997078	0.005489	1.001348
2460097.809470	0.991627	0.005466	1.001335
2460097.810012	0.995383	0.005522	1.001327
2460097.810555	0.990748	0.005445	1.001325
2460097.811029	0.988025	0.005404	1.001328
2460097.811504	0.981006	0.005394	1.001337
2460097.812044	0.991946	0.005415	1.001354
2460097.812520	0.995437	0.005410	1.001374
2460097.813054	0.997305	0.005405	1.001403
2460097.813600	0.988778	0.005328	1.001440
2460097.814197	0.999253	0.005424	1.001487
2460097.814745	0.985641	0.005381	1.001536
2460097.815295	0.994341	0.005352	1.001595
2460097.815848	0.993955	0.005575	1.001659
2460097.816405	0.989350	0.005354	1.001734
2460097.816963	0.987228	0.005325	1.001812
2460097.817435	0.992140	0.005347	1.001882
2460097.817911	0.982772	0.005320	1.001960
2460097.818455	0.987918	0.005293	1.002055
2460097.819002	1.002158	0.005296	1.002159
2460097.819477	0.996872	0.005353	1.002253
2460097.820025	1.000759	0.005284	1.002370
2460097.820580	0.992043	0.005374	1.002496
2460097.821121	0.987936	0.005290	1.002625
2460097.821598	0.996608	0.005300	1.002745
2460097.822135	0.984819	0.005261	1.002884
2460097.822683	0.996133	0.005306	1.003032
2460097.823183	0.987184	0.005278	1.003175
2460097.823729	0.989914	0.005242	1.003335
2460097.824279	0.990668	0.005292	1.003506
2460097.824834	0.997014	0.005365	1.003683
2460097.825389	0.990736	0.005287	1.003870
2460097.825936	1.000716	0.005530	1.004061
2460097.826493	1.000154	0.005351	1.004259
2460097.826967	0.994182	0.005335	1.004435
2460097.827443	0.986386	0.005372	1.004617
2460097.827917	0.991356	0.005329	1.004803
2460097.828457	0.983457	0.005365	1.005023
2460097.828933	0.990436	0.005375	1.005219
2460097.829484	0.995235	0.005375	1.005454
2460097.830032	0.993720	0.005416	1.005697
2460097.830580	0.988710	0.005388	1.005947
2460097.831130	0.987297	0.005494	1.006205
2460097.831603	0.987879	0.005459	1.006429
2460097.832622	0.990756	0.005533	1.006934
2460097.833097	0.996093	0.005578	1.007178
2460097.833636	0.995109	0.005595	1.007462
2460097.834112	0.990930	0.005621	1.007718
2460097.834663	1.000852	0.005737	1.008020
2460097.835139	0.996371	0.005754	1.008286
2460097.835690	0.988825	0.005783	1.008594
2460097.836236	0.997755	0.005857	1.008913
2460097.836772	1.001055	0.006001	1.009240
2460097.837246	1.002075	0.006009	1.009523
2460097.837799	0.998935	0.005984	1.009869
2460097.838348	0.984679	0.006094	1.010223
2460097.838893	0.989945	0.006145	1.010576
2460097.839439	0.993759	0.006321	1.010936
2460097.839991	0.984772	0.006417	1.011306
2460097.840527	0.982958	0.006503	1.011674
2460097.841063	0.985019	0.006633	1.012049
2460097.841606	0.978446	0.006789	1.012436
2460097.842151	0.997441	0.006919	1.012833
2460097.842625	0.989428	0.007043	1.013182
2460097.843150	0.988503	0.007259	1.013576
2460097.843692	0.983605	0.007474	1.013987
2460097.844167	0.991397	0.007649	1.014347
2460097.844714	0.996234	0.007970	1.014786
2460097.845252	0.980921	0.008132	1.015206
2460097.845784	0.993830	0.008465	1.015648
2460097.846317	0.997870	0.008758	1.016087
2460097.846849	0.991290	0.009207	1.016533
2460097.847390	0.998679	0.009531	1.016992
2460097.847919	0.993655	0.009889	1.017449
2460097.848454	1.005148	0.010422	1.017909
2460097.848997	0.972104	0.010729	1.018393
2460097.849471	0.994924	0.011153	1.018820
2460097.850004	0.977273	0.011595	1.019307
2460097.850549	1.000362	0.012500	1.019812
